,name,hist,ssp1,ssp3,ssp5
0,LarsenD,17.305593182465497,16.658627477339813,12.048109150404494,8.48670175588986
1,LarsenC,16.05563975914188,16.02175600263678,8.662130452242229,4.082720636138773
2,Tracy_Tremenchus,16.525146609616666,16.583581354708947,16.73828191464071,16.436934531183475
3,Ronne,17.286273362312006,17.482714606068164,17.630390654087225,17.61349975127887
4,Filchner,16.134667302993265,16.250970089854647,16.110470008575284,16.103518649224796
5,Brunt_Stancomb,18.423086325402746,18.386582838780484,18.040062923949165,17.497653143401664
6,Riiser-Larsen,17.2125359621993,17.216832376498974,17.442026563740814,17.264163376710684
7,Quar,16.696193080558082,16.5814517592407,15.766086802253358,14.628884270607635
8,Ekstrom,17.731933441261067,17.32803013516962,17.492211903259047,17.328981908666833
9,George_VI,16.82050258035867,16.214992418993518,9.330580954150314,5.3523013568914966
10,Bach,13.171409145275973,12.756747306223264,7.96438109826186,6.849246092809047
11,Wilkins,16.507303579058327,14.58421635600273,3.067819042692993,2.327602360222498
12,LarsenB,12.084076066490226,12.26420612814756,3.8957581519926157,1.1025342211772076
13,Stange,21.545895471937843,21.329529821349148,19.42370067007525,16.653194540512224
14,Venable,25.362661601720458,24.563251810104497,21.59635978125842,13.655136421322826
15,Cosgrove,17.640391973410644,17.824333186485667,16.760072957184526,14.88361305345656
16,Pine_Island,18.398107747138482,18.30753904131784,18.058274699228374,17.685988681634157
17,Thwaites,20.28706470540797,20.181603242260163,20.070701858696047,20.6780731116774
18,Crosson,25.431497669887246,25.41002955089403,25.052565127135743,24.13802997926308
19,Dotson,24.64580575676361,24.326222957726635,23.861744933249064,23.886009398801427
20,Getz,23.988848093562115,23.616500228071956,23.25631325254903,23.237082864251768
21,Nickerson,22.91957391998744,22.624586344495395,20.406286754444878,19.431300895245833
22,Sulzberger,19.94597297555629,19.499340466716355,17.77258343165562,17.40469660599993
23,Ross west,14.83231802977104,14.816696203582424,14.414255568533992,14.121445023290313
24,Ross east,15.06373342754761,15.0557305060282,14.797480460074095,14.469159062872617
25,Drygalski,14.172081337665327,13.995614625492957,11.59661648260903,7.998632050989839
26,Mariner,18.054309129159257,17.275192453541166,12.710672900160585,8.835174948232591
27,Cook,18.559595310854625,18.958551463385156,18.22802471754396,14.253790696414416
28,Mertz,19.831689628665718,19.928179263769323,19.040627857607205,17.75445393259377
29,Totten,24.345619383292323,23.770548564360155,22.818791191820026,22.70977986416657
30,Shackleton,19.063071982575707,19.18524068590328,19.01624265655077,18.701652835228572
31,West,16.96929521318535,16.881288858660383,16.922326810753823,16.051810802469912
32,Abbot,22.02584026470624,21.6392612503527,20.938664936951334,19.334026958042784
33,Amery,14.348902039984678,14.442596127721323,13.75431028295771,13.485064728854265
34,Baudouin,14.497352740061746,14.419091319321346,15.368023567778451,15.120621697303259
35,Borchgrevink,16.150437102655136,15.986299079212186,15.535165298115299,15.336354542073241
36,Lazarev,15.347920239930092,15.58423173212625,15.338532632967066,14.272522594151738
37,Fimbul,16.41184729416327,16.512204728606225,16.618703242149415,16.218946334639817
38,Nivl,15.816386053855718,15.98104885308162,15.769617566363596,12.419009298806703
39,Atka,17.755749336448297,17.435471651266738,16.467894812510856,16.259006962214514
40,Jelbart,18.933991233702557,18.914897700978514,19.68652370586448,19.16475253092029
41,Holmes,24.40961278364806,24.236646605148543,18.11755695633073,10.905119453451812
42,Moscow_University,19.90821128138504,19.48670439980279,17.887095726029692,16.286603587160336
43,Prince_Harald,22.726707445136128,22.400125610479385,18.432508734297414,17.617660704004688
44,Ross Sea,15.13775334260018,15.135020363762406,14.699127232104928,14.360595084884714
45,Ross,14.926380961820819,14.926466273404774,14.549933851527644,14.275816657509921
46,Peninsula,16.63103235621908,16.145111844727708,9.232919439878003,5.075301611933375
47,Ronne-Filchner,17.032162722071735,17.17249501331699,17.29639503871725,17.2757415319964
48,DML,16.877993678131528,16.83862995557736,16.773675059789536,16.37615505055704
49,Amery Region,14.92126318475021,15.000496021401071,14.452773385279952,13.979026093036339
50,Wilkes Land,19.747553378349842,19.72813786390402,18.817607863593754,18.011830662958303
51,Victoria Land,18.548665520922146,18.410105918793928,16.540569086698802,14.066759522960165
52,Amundsen Sea,22.412163863424595,22.05214846582796,21.297102201111066,20.23413335344316
53,all ice shelves,16.556071438480103,16.57874736674897,15.897940933012375,15.421216909517629
